,Hora,estacion,produccion_media_kWh
0,0,0,0.0
1,0,1,0.0
2,0,2,0.0
3,0,3,0.0
4,0,4,0.0
5,0,5,0.0
6,0,6,0.0
7,0,7,0.0
8,0,8,0.0
9,0,9,0.0
10,0,10,0.0
11,0,11,0.0
12,0,12,0.0
13,0,13,0.0
14,0,14,0.0
15,0,15,0.0
16,0,16,0.0
17,0,17,0.0
18,0,18,0.0
19,0,19,0.0
20,0,20,0.0
21,0,21,0.0
22,0,22,0.0
23,0,23,0.0
24,0,24,0.0
25,0,25,0.0
26,0,26,0.0
27,0,27,0.0
28,0,28,0.0
29,0,29,0.0
30,0,30,0.0
31,0,31,0.0
32,0,32,0.0
33,0,33,0.0
34,0,34,0.0
35,0,35,0.0
36,0,36,0.0
37,0,37,0.0
38,0,38,0.0
39,0,39,0.0
40,1,0,0.0
41,1,1,0.0
42,1,2,0.0
43,1,3,0.0
44,1,4,0.0
45,1,5,0.0
46,1,6,0.0
47,1,7,0.0
48,1,8,0.0
49,1,9,0.0
50,1,10,0.0
51,1,11,0.0
52,1,12,0.0
53,1,13,0.0
54,1,14,0.0
55,1,15,0.0
56,1,16,0.0
57,1,17,0.0
58,1,18,0.0
59,1,19,0.0
60,1,20,0.0
61,1,21,0.0
62,1,22,0.0
63,1,23,0.0
64,1,24,0.0
65,1,25,0.0
66,1,26,0.0
67,1,27,0.0
68,1,28,0.0
69,1,29,0.0
70,1,30,0.0
71,1,31,0.0
72,1,32,0.0
73,1,33,0.0
74,1,34,0.0
75,1,35,0.0
76,1,36,0.0
77,1,37,0.0
78,1,38,0.0
79,1,39,0.0
80,2,0,0.0
81,2,1,0.0
82,2,2,0.0
83,2,3,0.0
84,2,4,0.0
85,2,5,0.0
86,2,6,0.0
87,2,7,0.0
88,2,8,0.0
89,2,9,0.0
90,2,10,0.0
91,2,11,0.0
92,2,12,0.0
93,2,13,0.0
94,2,14,0.0
95,2,15,0.0
96,2,16,0.0
97,2,17,0.0
98,2,18,0.0
99,2,19,0.0
100,2,20,0.0
101,2,21,0.0
102,2,22,0.0
103,2,23,0.0
104,2,24,0.0
105,2,25,0.0
106,2,26,0.0
107,2,27,0.0
108,2,28,0.0
109,2,29,0.0
110,2,30,0.0
